NAME,SIMBADNAME,SIMBADURL,DATE,MASS,R,BMV,MSTAR,RSTAR,TEFF,A,PER,ECC,DIST,NCOMP,PLANETDISCMETH
Kepler-221 e,Kepler-221,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-221,2014,0.0212781,0.234633,,,0.821,5243,0.136253,18.369917,,,4,Transit
Kepler-256 c,Kepler-256,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-256,2014,0.0160511,0.19181,,,1.301,5551,0.0441473,3.38802,,,4,Transit
GJ 649 b,GJ 649,http://simbad.harvard.edu/simbad/sim-id?Ident=GJ+649,2010,0.325341,,1.522,0.54,,3700,1.13179,598.3,0.3,10.3445,1,RV
Kepler-276 b,Kepler-276,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-276,2014,0.0247188,0.256044,,,1.046,6105,0.114376,14.12841,,,1,Transit
Kepler-264 c,Kepler-264,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-264,2014,0.0241007,0.252476,,,1.55,6158,0.52792,140.101261,,,2,Transit
HD 132406 b,HD 132406,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+132406,2007,5.60495,,0.65,1.09,,5885,1.98227,974,0.34,67.8887,1,RV
Kepler-143 b,Kepler-143,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-143,2014,0.0186399,0.215006,,,1.359,5848,0.124306,16.007583,,,2,Transit
Kepler-189 c,Kepler-189,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-189,2014,0.0183139,0.212329,,,0.75,5235,0.144846,20.134866,,,2,Transit
HD 38529 c,HD 38529,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+38529,2003,12.2603,,0.773,1.34,2.02418,5674,3.6002,2146.0503,0.355094,39.2773,2,RV
Kepler-62 b,Kepler-62,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-62,2011,0,0.116766,0.599999,0.69,0.64,4925,0.0552794,5.714932,0.0707107,368,5,Transit
Kepler-281 b,Kepler-281,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-281,2014,0.0239491,0.251584,,,0.899,5723,0.117153,14.646008,,,2,Transit
Kepler-196 c,Kepler-196,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-196,2014,0.0168894,0.199839,,,0.782,5128,0.256426,47.427737,,,2,Transit
Kepler-238 c,Kepler-238,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-238,2014,0.0184218,0.213222,,,1.43,5751,0.0657332,6.155557,,,3,Transit
Kepler-49 c,Kepler-49,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-49,2011,0.0202381,0.227293,,0.55,0.53,3974,0.07889,10.9129343,,,4,Transit
Kepler-55 c,Kepler-55,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-55,2013,0.016585,0.196987,,0.62,0.58,4362,0.202122,42.1516418,,,5,Transit
WASP-19 b,WASP-19,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-19,2010,1.13339,1.386,0.99,0.93,0.99,5500,0.0163152,0.78884,0.0046,,1,Transit
